SellerSKU,ASIN,Region,SalesChannel,Date,Title
13PCPUNCHBAGFULLBLACK-UK-5FT,B005Y0L51O,UK,AMAZON.CO.UK,2023-03-06,"RDX Punch Bag Anti Swing 5ft 4ft Heavy Filled 3PC Set, Maya Hide Leather Adult Bag with Punching Gloves Hanging Chains, Kickboxing MMA Boxing Muay Thai Training Karate BJJ Workout, Home Gym Fitness"
17PBF1-F10-ES-5FT,B08H8XB8QT,ES,AMAZON.ES,2023-11-12,"RDX Saco de Boxeo Adulto Relleno 5ft 4ft, 4PC Maya Hide Cuero Punching Bag con Guantes Vendas, Bolsa Pesada para Artes Marciales Muay Thai MMA Kick Boxing, Hogar Gimnasio Fitness"
17PBR-F10W-4FT,B076WZXSFK,UK,AMAZON.CO.UK,2023-08-29,"RDX Professional Anti Swing Filled 5FT 4FT Punch Bag Set, 4 PC Maya Hide Leather Heavy Punching Bag with Gloves Wall Bracket Hanging Chains etc. Boxing MMA Kickboxing Adult Home Fitness Gym"
17PBR-F1W-ES-4FT-N,B09HCSMNL1,ES,AMAZON.ES,2022-07-24,"RDX Saco de Boxeo Adulto Relleno 5ft 4ft, 7PC Maya Hide Cuero Punching Bag con Guantes Vendas, , Bolsa Pesada para Artes Marciales Muay Thai MMA Kick"
2APR-F6MB-IT,B08N1JJZ7Q,IT,AMAZON.IT,2024-02-03,"RDX Colpitori in Curva Kickboxing, Muay Thai with Impugnatura Solida, Maya Hide Pelle Kara Scudo Sciopero per Boxe Allenamento, MMA, Arti Marziali, Taekwondo, Combat Sports Guanti da Passata"
2APR-F6MGL,B08N1KYHZQ,UK,AMAZON.CO.UK,2023-06-17,"RDX Thai Pads Curved Kickboxing Muay Thai with Solid Handle Grip, Maya Hide Leather KARA Strike Shield for Knees Elbows Kicks Punches, Coaching Traini"
2APR-F6MP-IT,B08N1JW5F7,IT,AMAZON.IT,2024-05-27,"RDX Colpitori in Curva Kickboxing, Muay Thai with Impugnatura Solida, Maya Hide Pelle Kara Scudo Sciopero per Boxe Allenamento, MMA, Arti Marziali, Taekwondo, Combat Sports Guanti da Passata"
2APR-F6MR,B08N1J73Y3,UK,AMAZON.CO.UK,2023-06-24,"RDX Thai Pads Curved Kickboxing Muay Thai with Solid Handle Grip, Maya Hide Leather KARA Strike Shield for Knees Elbows Kicks Punches, Coaching Traini"
2APR-F6MR-DE,B08N1J73Y3,DE,AMAZON.DE,2023-02-01,"RDX Schlagpolster zum Kampfsport, Kickboxen, Muay Thai Training, Maya Hide Leder Kara Schlagkissen, Boxen, MMA, Groß Thai Pads, Trainerpratzen, Boxpr"
2JPB-F6MS-2FT,B0BNBZXHXP,UK,AMAZON.CO.UK,2024-05-03,"RDX Kids Punch Bag 2ft Kara Heavy Filled Punching Set, Non Tear Maya Hide Leather, Junior Boxing Gloves, Training Bag, Kickboxing Boxing MMA Muay Thai Karate Workout Fitness Home Gym"
2NEO-SKPB,B098TNQ5GB,UK,AMAZON.CO.UK,2023-02-24,"RDX Knee Support Brace for Men and Women, Metal Hinged Open Patella Nylon Elasticated Compression Sleeve Pad with Adjustable Straps for Recovery Walki"
2YB-CK-D1,B08QSMX6XL,UK,AMAZON.CO.UK,2022-10-04,"RDX Yoga Block Cork Set, Non-Slip Natural Brick for Strength Flexibility Body Balance, Easy Grip Surface for Stability Pilates Fitness Exercise Deepen"
2YB-CK-D2,B08QSMSW58,UK,AMAZON.CO.UK,2023-11-14,"RDX Yoga Block Cork Set, Non-Slip Natural Brick for Strength Flexibility Body Balance, Easy Grip Surface for Stability Pilates Fitness Exercise Deepen Poses Office Home Gym Training, 22.5 x14.5x10.2CM"
2YB-CK-D5-DE,B08QSMKSMD,DE,AMAZON.DE,2024-12-07,"RDX Yoga Cork Block Set, High Density Eva Schaumstoff Rutschfester Blöcke, Leichtes Yogaklotz für Körperbalance Kraftflexibilität Pilates Fitness Unterstützung Heim-Fitnessgeräte 22.5 x14.5x10.2CM"
2YB-CK-ES-D1,B08QSMX6XL,ES,AMAZON.ES,2023-07-12,"RDX Bloque de Yoga de Corcho Set, Ladrillo Natural Antideslizante para Fuerza Flexibilidad, Equilibrio Corporal, Superficie de Fácil Agarre para Esta"
2YB-EVA-AW,B0D5HYC6LT,UK,AMAZON.CO.UK,2024-09-04,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Exercise Home Office Gym, 23x15x9.8CM"
2YB-EVA-AW-NEW,B0DG332WPD,UK,AMAZON.CO.UK,2024-12-27,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Poses Exercise for Men Women Office Home Gym"
2YB-EVA-B,B0D5HVG8Z2,UK,AMAZON.CO.UK,2024-08-22,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Exercise Home Office Gym, 23x15x9.8CM"
2YB-EVA-B-NEW,B0DG338KHP,UK,AMAZON.CO.UK,2025-03-26,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Poses Exercise for Men Women Office Home Gym"
2YB-EVA-D02-IT,B08RWWSGYK,IT,AMAZON.IT,2024-05-26,RDX Blocco Yoga Antiscivolo Blocchi Naturale Stabile Mattoni Yoga per Esercizio di Stretching Forza Flessibilità Equilibrio Yoga Fitness Pilates Attrezzature Da Palestra Domestica 23x15x9.8CM
2YB-EVA-D03-IT,B08RW6D63G,IT,AMAZON.IT,2024-03-27,RDX Blocco Yoga Antiscivolo Blocchi Naturale Stabile Mattoni Yoga per Esercizio di Stretching Forza Flessibilità Equilibrio Yoga Fitness Pilates Attrezzature Da Palestra Domestica 23x15x9.8CM
2YB-EVA-D08,B08RW48C9B,UK,AMAZON.CO.UK,2022-09-03,"RDX Yoga Block Set, Non-Slip High-Density Eva Foam Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepe"
2YB-EVA-D09-DE,B08RWNM1Y5,DE,AMAZON.DE,2024-01-04,"RDX Yoga Block Set, High Density Eva Schaumstoff Blöcke, Rutschfester Leichtes Yogaklotz für Körperbalance Kraftflexibilität Pilates Fitness Unterstützung und Stab Heim-Fitnessgeräte 23x15x9.8CM"
2YB-EVA-D14,B08RWHJVW5,UK,AMAZON.CO.UK,2022-10-06,"RDX Yoga Block Set, Non-Slip High-Density Eva Foam Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepe"
2YB-EVA-D18,B08RWDD5QP,UK,AMAZON.CO.UK,2022-10-06,"RDX Yoga Block Set, Non-Slip High-Density Eva Foam Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepe"
2YB-EVA-DB-NEW,B0DG32MCPM,UK,AMAZON.CO.UK,2025-03-31,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Poses Exercise for Men Women Office Home Gym"
2YB-EVA-DC-CP,B08RW9RM2W,UK,AMAZON.CO.UK,2025-03-23,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Poses Exercise for Men Women Office Home Gym"
2YB-EVA-DC-UB,B08RW47KYJ,UK,AMAZON.CO.UK,2024-08-28,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Poses Exercise for Men Women Office Home Gym"
2YB-EVA-ES-D08,B08RW48C9B,ES,AMAZON.ES,2023-04-12,"RDX Bloque de Yoga Corcho Set, Antideslizante Bloque de Espuma Natural Ladrillo para Pilates Equilibrio Estabilidad Entrenamiento Mejorar la Fuerza y"
2YB-EVA-ES-D10,B08RW9P196,ES,AMAZON.ES,2022-09-27,"RDX Bloque de Yoga Corcho Set, Antideslizante Bloque de Espuma Natural Ladrillo para Pilates Equilibrio Estabilidad Entrenamiento Mejorar la Fuerza y"
2YB-EVA-ES-D13,B08RW7NHRL,ES,AMAZON.ES,2023-04-24,"RDX Bloque de Yoga Corcho Set, Antideslizante Bloque de Espuma Natural Ladrillo para Pilates Equilibrio Estabilidad Entrenamiento Mejorar la Fuerza y"
2YB-EVA-ES-D15,B08RW4JMYD,ES,AMAZON.ES,2022-09-07,"RDX Bloque de Yoga Corcho Set, Antideslizante Bloque de Espuma Natural Ladrillo para Pilates Equilibrio Estabilidad Entrenamiento Mejorar la Fuerza y"
2YB-EVA-ES-D16,B08RWLBNMB,ES,AMAZON.ES,2023-03-16,"RDX Bloque de Yoga Corcho Set, Antideslizante Bloque de Espuma Natural Ladrillo para Pilates Equilibrio Estabilidad Entrenamiento Mejorar la Fuerza y"
2YB-EVA-MG,B0D5HYBCZH,UK,AMAZON.CO.UK,2024-09-03,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Exercise Home Office Gym, 23x15x9.8CM"
17PBR-F1W-ES-5FT-N,B09HCV7NBR,ES,AMAZON.ES,2022-12-07,"RDX Saco de Boxeo Adulto Relleno 5ft 4ft, 7PC Maya Hide Cuero Punching Bag con Guantes Vendas, , Bolsa Pesada para Artes Marciales Muay Thai MMA Kick Boxing, Hogar Gimnasio Fitness"
17PBR-F6MB-5FT,B08MWSLSJ6,UK,AMAZON.CO.UK,2025-04-01,"RDX Heavy 5FT Punch Bag Pro Training, 25KG Pre Filled with 50KG Max Filling Capacity, 4PC Boxing Bag Set with Gloves Bracket Hanging Steel Chain, MMA Kickboxing Muay Thai Karate BJJ Home Gym Fitness"
17PBR-F6MB-IT-4FT,B08MWVFWPQ,IT,AMAZON.IT,2022-06-09,"RDX Sacco da Boxe Pieno Adulti 4FT 5FT, 17PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Supporto Muro, Arti Marziali Pugilato Muay"
17PBR-F6MGL-4FT,B08MWRYCP5,UK,AMAZON.CO.UK,2022-07-05,"RDX Punch Bag Anti Swing 5ft 4ft Heavy Filled 17PC Set, Maya Hide Leather Adult Bag with Gloves Wall Bracket Floor Hook Chains Wraps, Kickboxing Boxin"
17PBR-F6MGL-ES-4FT,B08MWRYCP5,ES,AMAZON.ES,2022-06-29,"RDX Saco de Boxeo Adulto Relleno 5ft 4ft, 17PC Cuero Maya Hide Anti Swing Punching Bag Set con Guantes, Soporte, Bolsa Pesada para Artes Marciales Mua"
17PBR-F6MGL-IT-4FT,B08MWRYCP5,IT,AMAZON.IT,2022-08-28,"RDX Sacco da Boxe Pieno Adulti 5FT 4FT, 7PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Supporto Muro, Arti Marziali Pugilato Muay"
17PBR-F6MGL-IT-5FT,B08MWRYDQY,IT,AMAZON.IT,2022-08-18,"RDX Sacco da Boxe Pieno Adulti 5FT 4FT, 7PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Supporto Muro, Arti Marziali Pugilato Muay"
17PBR-F6MR-DE-5FT,B08MWTX4JD,DE,AMAZON.DE,2022-10-06,"RDX Boxsack Gefüllt 7PC Set, 4ft 5ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Wandhalterung, Boxen Kampfsport Kickboxen Muay Thai MMA Training Bag, Heim Gym Fitness"
17PBR-F6MR-ES-5FT,B08MWTX4JD,ES,AMAZON.ES,2022-06-28,"RDX Saco de Boxeo Adulto Relleno 5ft 4ft, 17PC Cuero Maya Hide Anti Swing Punching Bag Set con Guantes, Soporte, Bolsa Pesada para Artes Marciales Mua"
17PBR-F6MR-IT-5FT,B08MWTX4JD,IT,AMAZON.IT,2022-10-05,"RDX Sacco da Boxe Pieno Adulti 5FT 4FT, 7PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Supporto Muro, Arti Marziali Pugilato Muay Thai Kick Boxing Palestra Punch Sacchi."
17PBR-F6MW-5FT,B08MWT2ZJK,UK,AMAZON.CO.UK,2022-11-24,"RDX Professional Anti Swing Filled 5FT 4FT Punch Bag Set, 7pc Maya Hide Leather Heavy Punching Bag with Gloves Wall Bracket Hanging Chains etc. Boxing MMA Kickboxing Adult Home Fitness Gym"
17PBR-F6MW-ES-4FT,B08MWT1KF9,ES,AMAZON.ES,2022-11-23,"RDX Saco de Boxeo Adulto Relleno 5ft 4ft, 7PC Maya Hide Cuero Punching Bag con Guantes Vendas, Bolsa Pesada para Artes Marciales Muay Thai MMA Kick Boxing, Hogar Gimnasio Fitness"
17PBR-F9RB-5FT-DE,B076X11C77,DE,AMAZON.DE,2022-12-16,"RDX Boxsack Gefüllt 7PC Set, 5ft 4ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Wandhalterung, Boxen Kampfsport Kickboxen MMA Muay Thai Training Bag, Heim Gym Fitness"
17PBR-F9RB-NEW-IT-5FT,B09F9Z9XG4,IT,AMAZON.IT,2022-12-15,"RDX Sacco da Boxe Pieno Adulti 4FT 5FT, 7PC Maya Hide Pelle Anti Oscillazione Pesante Bag Set con Guantoni Supporto Muro, Arti Marziali Pugilato Kick Boxing Muay Thai Palestra Punch Sacchi"
17PBR-X1B-DE-5FT,B08K8WDQ52,DE,AMAZON.DE,2023-08-07,"RDX Boxsack Gefüllt 4PC Set, 5ft 4ft Erwachsene Anti Schwerkraft Maya Hide Leder Punchingsäcke mit Boxhandschuhe Wand, Boxen Kampfsport Kickboxen Muay Thai MMA Training Bag, Heim Gym Fitness"
2YB-EVA-O,B0D5HWSWGB,UK,AMAZON.CO.UK,2024-09-03,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Exercise Home Office Gym, 23x15x9.8CM"
2YB-EVA-O-NEW,B0DG346FSZ,UK,AMAZON.CO.UK,2025-03-29,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Poses Exercise for Men Women Office Home Gym"
2YB-EVA-P,B0D5HVK2PW,UK,AMAZON.CO.UK,2024-08-23,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Exercise Home Office Gym, 23x15x9.8CM"
2YB-EVA-P-NEW,B0DG334GCR,UK,AMAZON.CO.UK,2024-11-24,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Poses Exercise for Men Women Office Home Gym"
2YB-EVA-U-NEW,B0DG337B3Y,UK,AMAZON.CO.UK,2025-03-31,"RDX Yoga Block Set, High-Density Eva Foam, Non-Slip Brick for Pilates Flexibility Body Balance, Easy Grip Surface for Stability Strength Training Deepen Poses Exercise for Men Women Office Home Gym"
3JPB-F6MP-IT-2FT,B08N1KPRP7,IT,AMAZON.IT,2024-02-11,"RDX Bambini Sacco da Boxe 2ft e Guantoni Set, Riempito Junior KARA Sacchi Pugilato per Muay Thai, Sparring, Kickboxing Allenamento, Punzonatura, Arti Marziali, MMA"
3JPB-F6MR-ES-2FT,B08N1KJK6X,ES,AMAZON.ES,2024-12-15,"RDX Niños Saco de Boxeo 2ft y Guantes para Entrenamiento, Junior Kara Bolsa de Boxeo para Muay Thai, MMA, Sparring, Kick Boxing, Artes Marciales, Punching Bag Set"
