marketplace_sku,asin,im_sku,region,SalesChannel,level_1,Linnworks Title,linnwork's_sku_received_from,Comment  
WGS-F43AP-IT-L,B091GQTJDP,WGS-F43AP-L,IT,Amazon.it,ABANDONED ITEMS,GYM GLOVES SUBLIMATION F43 ARMY GREEN PADDING-L,Rida Batool,
WBL-6RN-NEW-DE-S,B005GPCOVC,WBL-6RN-S,DE,Amazon.de,ABANDONED ITEMS,BELT LEATHER 6'' BROWN PADDED-S,Rida Batool,
BFR-T15MG-IT-16OZ,B08156GNVL,BFR-T15MG-16OZ,IT,Amazon.it,BUNDLES,FOCUS PAD T15 MATTE GREEN + BOXING GLOVE F15 MATTE GREEN-16oz,Rida Batool,
FPR-F6MB,B08N5BPF4M,FPR-F6MB,UK,Amazon.co.uk,FOCUS PADS,FOCUS PAD F6 MATTE BLACK,Rida Batool,
BMR-F10W-DE,B08BLM5FM4,BMR-F10W,DE,Amazon.de,ABANDONED ITEMS,BOXING BAG MITTS F10 WHITE,Rida Batool,
HYP-ISGN-XL-UK,B07NXT5QLD,HYP-ISGN-XL,UK,Amazon.co.uk,ABANDONED ITEMS,HOSIERY INNER STRAP BLACK/GREEN-XL,Rida Batool,
GGM-PF1R-DE-M,B08KFBR4DG,GGM-PF1R-M,DE,Amazon.de,ABANDONED ITEMS,GRAPPLING GLOVE MICRO PRO F1 RED-M,Rida Batool,
MSS-T15U-3XL-ES,B0B2PRD86X,MSS-T15U-3XL,ES,Amazon.es,MMA SHORTS,MMA SHORTS T15 BLUE-3XL,Rida Batool,
HGM-T1-B-XL,B004X6YWWY,HGR-T1FB-XL,UK,Amazon.co.uk,HEAD GUARDS,HEAD GUARD GRILL T1 FULL BLACK-XL,Rida Batool,
WAH-W4P-M,B08NF9LK6J,WAH-W4P-M,UK,Amazon.co.uk,GYM ACCESSORIES,"GYM WRIST WRAP W4 PINK 24""-M",Rida Batool,
WBE-RX3U-IT-M,B08V5NBDN8,WBE-RX3U-M,IT,Amazon.it,ABANDONED ITEMS,WEIGHT LIFTING BELT EVA CURVE RX3 BLUE-M,Rida Batool,
BSE-T2R-ES,B08R62S72F,BSE-T2R,ES,Amazon.es,ABANDONED ITEMS,BOXING STRAP ELASTICATED T2 RED,Rida Batool,
RBF-PCL-UK,B08RJZ3B49,RBF-PCL,UK,Amazon.co.uk,YOGA STUFF,POLY COTTON FABRIC RESISTANCE BAND LEAVES SET (75104) (75098),Rida Batool,
SVP-M1AG-M,B0C1NQFJ63,SVP-M1AG-M,UK,Amazon.co.uk,CLOTHING,SWEAT VEST MENS M1 ARMY GREEN-M,Rida Batool,
